sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-channel,product-tax-code,leadtime-to-ship,merchant-shipping-group
MUZ-WG18-PND-046,,,2500.0,2250.0,3750.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-047,,,575.0,517.5,862.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-048,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-049,,,1375.0,1237.5,2062.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-050,,,750.0,675.0,1125.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-051,,,2125.0,1912.5,3187.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-052,,,10000.0,9000.0,15000.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-053,,,9500.0,8550.0,14250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-054,,,9000.0,8100.0,13500.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-055,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-056,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-057,,,8750.0,7875.0,13125.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-058,,,875.0,787.5,1312.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-059,,,2500.0,2250.0,3750.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-BRC-060,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-BRC-061,,,2125.0,1912.5,3187.5,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-PT950-RNG-062,,,8000.0,7200.0,12000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Platinum. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-063,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-064,,,23000.0,20700.0,34500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-065,,,25000.0,22500.0,37500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-066,,,3100.0,2790.0,4650.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-BRC-067,,,500.0,450.0,750.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-BRC-068,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-BRC-069,,,875.0,787.5,1312.5,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-070,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-071,,,1125.0,1012.5,1687.5,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-072,,,350.0,315.0,525.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-073,,,375.0,337.5,562.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-074,,,300.0,270.0,450.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-075,,,250.0,225.0,375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-076,,,1125.0,1012.5,1687.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-077,,,1000.0,900.0,1500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-078,,,225.0,202.5,337.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-079,,,300.0,270.0,450.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-080,,,625.0,562.5,937.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-081,,,875.0,787.5,1312.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-PND-082,,,550.0,495.0,825.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-083,,,3500.0,3150.0,5250.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-084,,,2000.0,1800.0,3000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-085,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-086,,,15000.0,13500.0,22500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-087,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-088,,,10750.0,9675.0,16125.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-089,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-090,,,12000.0,10800.0,18000.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-PND-091,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-092,,,500.0,450.0,750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-093,,,750.0,675.0,1125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-094,,,1750.0,1575.0,2625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-095,,,4000.0,3600.0,6000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-096,,,5750.0,5175.0,8625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-097,,,9500.0,8550.0,14250.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-098,,,1875.0,1687.5,2812.5,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-099,,,4750.0,4275.0,7125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-100,,,25000.0,22500.0,37500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-101,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-102,,,2500.0,2250.0,3750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-103,,,2250.0,2025.0,3375.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-BRC-104,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
