product_id,title,jewelry_type,material,category,regular_price,sale_price,stock_status,url,image_url,seo_filename,local_image_path,scraped_at
MUZEM_113,Yellow gold pendant DJ1313,Ring,18k Yellow Gold,,11.500.000,11.500.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/emerald/yellow-gold-pendant-dj1313/,https://muzem.co/wp-content/uploads/2025/03/DJ1313-1.jpg,MUZEM_113_Yellow_gold_pendant_DJ1313.jpg,/mnt/okcomputer/output/raw_images/MUZEM_113_Yellow_gold_pendant_DJ1313.jpg,2026-02-22T02:01:25.821758
MUZEM_114,Yellow gold pendant DJ1694,Ring,18k Yellow Gold,,8.000.000,8.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/round/yellow-gold-pendant-dj1694/,https://muzem.co/wp-content/uploads/2025/03/DJ1694-1.jpg,MUZEM_114_Yellow_gold_pendant_DJ1694.jpg,/mnt/okcomputer/output/raw_images/MUZEM_114_Yellow_gold_pendant_DJ1694.jpg,2026-02-22T02:01:25.821758
MUZEM_115,Yellow gold pendant DJ1993,Ring,18k Yellow Gold,Yellow Gold,20.000.000,20.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-pendants/dj1993/,https://muzem.co/wp-content/uploads/2025/03/DJ1993.4.jpg,MUZEM_115_Yellow_gold_pendant_DJ1993.jpg,/mnt/okcomputer/output/raw_images/MUZEM_115_Yellow_gold_pendant_DJ1993.jpg,2026-02-22T02:01:25.821758
MUZEM_116,Yellow gold pendant DJ1995,Ring,18k Yellow Gold,,15.000.000,15.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/marquise/yellow-gold-pendant-dj1995/,https://muzem.co/wp-content/uploads/2025/03/AN1995-2.jpg,MUZEM_116_Yellow_gold_pendant_DJ1995.jpg,/mnt/okcomputer/output/raw_images/MUZEM_116_Yellow_gold_pendant_DJ1995.jpg,2026-02-22T02:01:25.821758
MUZEM_117,Yellow gold pendant DJ2211,Ring,18k Yellow Gold,,6.000.000,6.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/round/yellow-gold-pendant-dj2211/,https://muzem.co/wp-content/uploads/2025/03/DJ2211-1.jpg,MUZEM_117_Yellow_gold_pendant_DJ2211.jpg,/mnt/okcomputer/output/raw_images/MUZEM_117_Yellow_gold_pendant_DJ2211.jpg,2026-02-22T02:01:25.821758
MUZEM_118,Yellow gold pendant DJ2470,Ring,18k Yellow Gold,,58.000.000,58.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/teardrop/yellow-gold-pendant-dj2470/,https://muzem.co/wp-content/uploads/2025/06/DJ2470_3fu22gvfwf1_2025-06-16-17-50-35.jpg,MUZEM_118_Yellow_gold_pendant_DJ2470.jpg,/mnt/okcomputer/output/raw_images/MUZEM_118_Yellow_gold_pendant_DJ2470.jpg,2026-02-22T02:01:25.821758
MUZEM_119,Yellow gold ring AN 2071,Ring,18k Yellow Gold,,3.200.000,3.200.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/marquise/yellow-gold-ring-an-2071/,https://muzem.co/wp-content/uploads/2025/03/AN2071-1.jpg,MUZEM_119_Yellow_gold_ring_AN_2071.jpg,/mnt/okcomputer/output/raw_images/MUZEM_119_Yellow_gold_ring_AN_2071.jpg,2026-02-22T02:01:25.821758
MUZEM_120,Yellow gold ring AN1361,Ring,18k Yellow Gold,Yellow Gold,26.000.000,26.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-rings/yellow-gold-ring-an1361/,https://muzem.co/wp-content/uploads/2025/03/AN1361-4.jpg,MUZEM_120_Yellow_gold_ring_AN1361.jpg,/mnt/okcomputer/output/raw_images/MUZEM_120_Yellow_gold_ring_AN1361.jpg,2026-02-22T02:01:25.821758
MUZEM_121,Yellow gold ring AN1626,Ring,18k Yellow Gold,,18.000.000,18.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/trillion/yellow-gold-ring-an1626/,https://muzem.co/wp-content/uploads/2025/03/AN1626_i3ob0rwe29s_2025-03-25-15-07-48.jpg,MUZEM_121_Yellow_gold_ring_AN1626.jpg,/mnt/okcomputer/output/raw_images/MUZEM_121_Yellow_gold_ring_AN1626.jpg,2026-02-22T02:01:25.821758
MUZEM_122,Yellow gold ring AN1756,Ring,18k Yellow Gold,Yellow Gold,13.000.000,13.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-rings/yellow-gold-ring-an1756/,https://muzem.co/wp-content/uploads/2025/03/AN1756.2.jpg,MUZEM_122_Yellow_gold_ring_AN1756.jpg,/mnt/okcomputer/output/raw_images/MUZEM_122_Yellow_gold_ring_AN1756.jpg,2026-02-22T02:01:25.821758
MUZEM_123,Yellow gold ring AN1890,Ring,18k Yellow Gold,,15.000.000,15.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/heart/yellow-gold-ring-an1890/,https://muzem.co/wp-content/uploads/2025/07/AN1890-3.jpg,MUZEM_123_Yellow_gold_ring_AN1890.jpg,/mnt/okcomputer/output/raw_images/MUZEM_123_Yellow_gold_ring_AN1890.jpg,2026-02-22T02:01:25.821758
MUZEM_124,Yellow gold ring AN1924,Ring,18k Yellow Gold,Yellow Gold,75.000.000,75.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-rings/white-gold-ring-an1924/,https://muzem.co/wp-content/uploads/2025/03/AN1924.1.jpg,MUZEM_124_Yellow_gold_ring_AN1924.jpg,/mnt/okcomputer/output/raw_images/MUZEM_124_Yellow_gold_ring_AN1924.jpg,2026-02-22T02:01:25.821758
MUZEM_125,Yellow gold ring AN1956,Ring,18k Yellow Gold,,2.800.000,2.800.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/round/yellow-gold-ring-an1956/,https://muzem.co/wp-content/uploads/2025/03/AN1956-1.jpg,MUZEM_125_Yellow_gold_ring_AN1956.jpg,/mnt/okcomputer/output/raw_images/MUZEM_125_Yellow_gold_ring_AN1956.jpg,2026-02-22T02:01:25.821758
MUZEM_126,Yellow gold ring AN1958,Ring,18k Yellow Gold,,11.000.000,11.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/cabochon/yellow-gold-ring-an1958/,https://muzem.co/wp-content/uploads/2025/03/AN1958-1.jpg,MUZEM_126_Yellow_gold_ring_AN1958.jpg,/mnt/okcomputer/output/raw_images/MUZEM_126_Yellow_gold_ring_AN1958.jpg,2026-02-22T02:01:25.821758
MUZEM_127,Yellow gold ring AN2072,Ring,18k Yellow Gold,,3.200.000,3.200.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/marquise/yellow-gold-ring-an2072/,https://muzem.co/wp-content/uploads/2025/03/AN2072-2.jpg,MUZEM_127_Yellow_gold_ring_AN2072.jpg,/mnt/okcomputer/output/raw_images/MUZEM_127_Yellow_gold_ring_AN2072.jpg,2026-02-22T02:01:25.821758
MUZEM_128,Yellow gold ring AN2169,Ring,18k Yellow Gold,,18.000.000,18.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/teardrop/yellow-gold-ring-an2169/,https://muzem.co/wp-content/uploads/2025/06/AN2169-3.jpg,MUZEM_128_Yellow_gold_ring_AN2169.jpg,/mnt/okcomputer/output/raw_images/MUZEM_128_Yellow_gold_ring_AN2169.jpg,2026-02-22T02:01:25.821758
MUZEM_129,Yellow gold ring AN2177,Ring,18k Yellow Gold,,50.000.000,50.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/marquise/yellow-gold-ring-an2177/,https://muzem.co/wp-content/uploads/2025/06/AN2177-4.jpg,MUZEM_129_Yellow_gold_ring_AN2177.jpg,/mnt/okcomputer/output/raw_images/MUZEM_129_Yellow_gold_ring_AN2177.jpg,2026-02-22T02:01:25.821758
MUZEM_130,Yellow gold ring AN2183,Ring,18k Yellow Gold,,35.000.000,35.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/yellow-gold-ring-an2183/,https://muzem.co/wp-content/uploads/2025/07/AN2183-4.jpg,MUZEM_130_Yellow_gold_ring_AN2183.jpg,/mnt/okcomputer/output/raw_images/MUZEM_130_Yellow_gold_ring_AN2183.jpg,2026-02-22T02:01:25.821758
MUZEM_131,Yellow gold ring AN2184,Ring,18k Yellow Gold,,24.000.000,24.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/rectangular/yellow-gold-ring-an2184/,https://muzem.co/wp-content/uploads/2025/07/AN2184-3.jpg,MUZEM_131_Yellow_gold_ring_AN2184.jpg,/mnt/okcomputer/output/raw_images/MUZEM_131_Yellow_gold_ring_AN2184.jpg,2026-02-22T02:01:25.821758
MUZEM_132,Yellow gold ring AN2216,Ring,18k Yellow Gold,,29.000.000,29.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/square/yellow-gold-ring-an2216/,https://muzem.co/wp-content/uploads/2025/07/AN2216-3.jpg,MUZEM_132_Yellow_gold_ring_AN2216.jpg,/mnt/okcomputer/output/raw_images/MUZEM_132_Yellow_gold_ring_AN2216.jpg,2026-02-22T02:01:25.821758
